engine,indexing,access,operation,valueType,size,samples,avg_ms,min_ms,max_ms,stddev_ms
SQLiteData,default,read,sort,int,10,10,0.1243,0.0768,0.4289,0.1084
SQLiteData,default,read,sort,int,100,10,0.5560,0.5032,0.8952,0.1207
SQLiteData,default,read,sort,int,1000,10,1.4157,1.3852,1.5865,0.0614
SQLiteData,default,read,sort,int,10000,10,11.2380,7.3384,16.6762,3.5801
SQLiteData,default,read,sort,int,100000,10,81.0332,73.4451,125.1339,15.5535
SQLiteData,default,read,sort,string,10,10,0.2474,0.2073,0.4916,0.0880
SQLiteData,default,read,sort,string,100,10,0.2467,0.2033,0.5508,0.1073
SQLiteData,default,read,sort,string,1000,10,1.4799,1.4465,1.6536,0.0620
SQLiteData,default,read,sort,string,10000,10,11.7622,7.7592,24.9857,5.2608
SQLiteData,default,read,sort,string,100000,10,86.2137,79.9173,118.2290,11.4663
SQLiteData,default,read,byID,-,10,10,0.3309,0.2540,0.8895,0.1972
SQLiteData,default,read,byID,-,100,10,0.1325,0.0965,0.4078,0.0971
SQLiteData,default,read,byID,-,1000,10,0.2978,0.2547,0.5650,0.0954
SQLiteData,default,read,byID,-,10000,10,0.2998,0.2535,0.5625,0.0945
SQLiteData,default,read,byID,-,100000,10,0.2060,0.0976,0.8788,0.2474
SQLiteData,default,write,insert,-,10,10,0.2160,0.1715,0.5738,0.1259
SQLiteData,default,write,insert,-,100,10,1.6340,1.2641,2.3120,0.3747
SQLiteData,default,write,insert,-,1000,10,10.3568,5.9498,22.7033,5.1355
SQLiteData,default,write,insert,-,10000,10,64.5248,58.9960,103.9255,13.8638
SQLiteData,default,write,insert,-,100000,10,623.7350,615.1050,660.0790,13.0970
SQLiteData,default,write,update,-,10,10,0.3885,0.3668,0.5061,0.0423
SQLiteData,default,write,update,-,100,10,3.7678,1.5769,9.3002,2.3930
SQLiteData,default,write,update,-,1000,10,17.7079,15.5875,32.3058,5.2860
SQLiteData,default,write,update,-,10000,10,154.6271,152.0746,158.2289,1.9500
SQLiteData,default,write,update,-,100000,10,1555.3242,1542.9366,1582.3317,11.8392
SwiftData,indexed,read,equality,int,10,10,0.3218,0.1585,1.5752,0.4428
SwiftData,indexed,read,equality,int,100,10,0.2821,0.2323,0.6203,0.1197
SwiftData,indexed,read,equality,int,1000,10,1.3542,1.2574,1.8305,0.1718
SwiftData,indexed,read,equality,int,10000,10,9.6135,5.1967,25.7224,6.2287
SwiftData,indexed,read,equality,int,100000,10,54.3958,47.0573,84.2641,10.8009
SwiftData,indexed,read,equality,string,10,10,0.2919,0.1862,1.0308,0.2626
SwiftData,indexed,read,equality,string,100,10,0.6459,0.3645,2.3404,0.6213
SwiftData,indexed,read,equality,string,1000,10,1.3566,1.2717,1.8217,0.1655
SwiftData,indexed,read,equality,string,10000,10,9.3073,5.1240,17.9833,4.4507
SwiftData,indexed,read,equality,string,100000,10,51.1746,45.6215,90.3284,13.7737
SwiftData,indexed,read,notEqual,int,10,10,0.4514,0.3521,1.0383,0.2093
SwiftData,indexed,read,notEqual,int,100,10,2.2670,2.1885,2.7883,0.1849
SwiftData,indexed,read,notEqual,int,1000,10,10.9826,8.9576,21.2228,4.1279
SwiftData,indexed,read,notEqual,int,10000,10,91.7505,85.3933,128.1151,12.8803
SwiftData,indexed,read,notEqual,int,100000,10,956.9430,939.6341,980.0677,11.5745
SwiftData,indexed,read,notEqual,string,10,10,0.3925,0.3348,0.7696,0.1333
SwiftData,indexed,read,notEqual,string,100,10,2.5022,2.2255,3.0369,0.2531
SwiftData,indexed,read,notEqual,string,1000,10,13.0536,8.7900,30.4398,6.9237
SwiftData,indexed,read,notEqual,string,10000,10,92.7892,84.4679,130.4023,13.5275
SwiftData,indexed,read,notEqual,string,100000,10,967.1984,952.8858,988.4473,12.3993
SwiftData,indexed,read,comparison,int,10,10,0.7539,0.4724,1.5685,0.2985
SwiftData,indexed,read,comparison,int,100,10,1.0978,1.0370,1.5149,0.1478
SwiftData,indexed,read,comparison,int,1000,10,7.7539,4.6109,11.8523,2.6791
SwiftData,indexed,read,comparison,int,10000,10,48.2088,42.6248,78.0317,10.6539
SwiftData,indexed,read,comparison,int,100000,10,473.8230,461.2495,508.7670,13.0720
SwiftData,indexed,read,comparison,string,10,10,0.5861,0.1998,1.3739,0.2993
SwiftData,indexed,read,comparison,string,100,10,1.8444,1.3117,2.6090,0.4003
SwiftData,indexed,read,comparison,string,1000,10,7.1713,4.4164,18.1318,4.1101
SwiftData,indexed,read,comparison,string,10000,10,35.3578,30.8416,66.3186,10.9430
SwiftData,indexed,read,comparison,string,100000,10,354.0227,335.2484,382.4477,13.7786
SwiftData,indexed,read,sort,int,10,10,1.1345,0.6929,2.0386,0.3681
SwiftData,indexed,read,sort,int,100,10,3.6315,2.1030,7.3085,1.5167
SwiftData,indexed,read,sort,int,1000,10,13.7093,9.2998,32.5665,7.3722
SwiftData,indexed,read,sort,int,10000,10,98.3657,90.3437,138.6902,14.3773
SwiftData,indexed,read,sort,int,100000,10,1034.9801,1022.2015,1053.3160,10.8082
SwiftData,indexed,read,sort,string,10,10,0.4402,0.3716,0.9544,0.1815
SwiftData,indexed,read,sort,string,100,10,4.1700,2.7754,7.4849,1.6589
SwiftData,indexed,read,sort,string,1000,10,17.0986,12.4763,41.8030,9.2162
SwiftData,indexed,read,sort,string,10000,10,161.8184,140.7690,210.4744,23.6164
